"gene";"pathway"
"STAT2";"JAK-STAT signaling pathway"
"STAT4";"JAK-STAT signaling pathway"
"STAT5A";"JAK-STAT signaling pathway"
"STAT6";"JAK-STAT signaling pathway"
"STK11";"PI3K"
"STK19";"Others "
"SUFU";"Hedgehog signaling pathway"
"SUZ12";"Epigenetics "
"SYK";"RTK/RAS"
"TAP1";"Others "
"TAP2";"Others "
"TBL1XR1";"Others "
"TBX3";"Regulation Of Gene Expression"
"TCF3";"Regulation Of Gene Expression"
"TCF7L2";"Wnt Signaling Pathway "
"TCL1B";"Others "
"TEK";"RTK/RAS"
"TERT";"Senescence "
"TET1";"Epigenetics "
"TET2";"Epigenetics "
"TFE3";"Transcription factor-regulator "
"TFEB";"Others "
"TFPT";"Others "
"TGFBR2";"TGF-beta"
"TLE1";"Transcription factor-regulator "
"TLE2";"Transcription factor-regulator "
"TLE3";"Transcription factor-regulator "
"TLE4";"Transcription factor-regulator "
"TLL2";"Others "
"TMEM127";"Others "
"TMEM30A";"Others "
"TMPRSS2";"Others "
"TMSB4XP8";"Others "
"TNFAIP3";"Immunity "
"TNFRSF11A";"Others "
"TNFRSF14";"Immunity "
"TP53";"Genome integrity ==> p53"
"TP53BP1";"Cell cycle "
"TP63";"Genome integrity ==> p53"
"TPM4";"Others "
"TRAF2";"Immunity "
"TRAF3";"Immunity "
"TRAF5";"Immunity "
"TRAF7";"Immunity "
"TRIM27";"Others "
"TRIP13";"Others "
"TSC1";"PI3K"
"TSC2";"PI3K"
"TSHR";"Others "
"TUSC3";"Others "
"TYK2";"RTK/RAS"
"U2AF2";"Others "
"UBR5";"Regulation Of Gene Expression"
"UPF1";"Others "
"USP6";"Others "
"USP8";"Others "
"VAV1";"Others "
"VAV2";"Others "
"VHL";"PI3K"
"WDR90";"Others "
"WRN";"Cell cycle "
"WT1";"Regulation Of Gene Expression"
"WWP1";"Others "
"WWTR1";"Others "
"XPC";"DNA repair "
"XPO1";"Others "
"XRCC2";"DNA repair "
"YAP1";"Hippo signaling pathway"
"YES1";"RTK/RAS"
"YWHAE";"Others "
"YY1";"Others "
"ZBTB16";"Others "
"ZBTB7A";"Others "
"ZFHX3";"Transcription factor-regulator "
"ZFP36L1";"Transcription factor-regulator "
"ZMYM2";"Others "
"ZNF24";"Others "
"ZNF331";"Others "
"ZNF384";"Others "
"ZNF521";"Others "
"ZNF703";"Others "
"ZNF750";"Regulation Of Gene Expression"
"ZNRF3";"Others "
